Words,Definition,Category
Irritation of Lips,"A subjective sensation of dryness, chapping, or discomfort on the lips, often triggered by low humidity, high air velocity, or exposure to extreme temperatures. this irritation can impact perceived air quality and overall comfort.",Generic Terminology
Irritation of Nose,"A subjective experience of dryness, itchiness, or discomfort in the nasal passages, commonly arising from insufficient humidity, excessive airflow, or airborne irritants. persistent nose irritation may reduce occupant satisfaction with the indoor environment.",Generic Terminology
Irritation of Skin,"A subjective feeling of dryness, tightness, itching, or sensitivity on the skin, typically resulting from environmental stressors such as low relative humidity, high temperatures, or contact with allergens. skin irritation is often used as an indicator of indoor environmental quality.",Generic Terminology
Isothermal Air Convection,"Isothermal air convection refers to the process of using airflows at a constant temperature to transfer heat to or from a body or space. in the context of thermal comfort, it involves directing air at a steady temperature toward specific areas to enhance comfort without changing the overall ambient temperature.",Generic Terminology
Isothermal Airflow,"Isothermal airflow refers to the movement of air at a constant temperature, where the thermal energy remains unchanged throughout the flow",Generic Terminology
Local Air Jets,"Local air jets are targeted streams of air delivered to specific body areas or spaces to enhance thermal comfort. these air jets are typically used to correct temperature imbalances in non-neutral ambient environments by directing airflow at the occupant's body, creating a localized cooling or heating effect.",Generic Terminology
Local Boundary Conditions,"Local boundary conditions refer to the specific constraints or parameters applied at the interface between different regions in a simulation or physical system. these conditions define how heat, mass, or momentum transfer occurs at localized points within the model, ensuring accurate representation of interactions between surfaces, materials, and the surrounding environment. in a computational model of air ventilation clothing, a local boundary condition could define the heat flux between the wearer's skin and the inner surface of the garment.",Generic Terminology
Local Pleasantness of Jet,"The degree to which occupants subjectively evaluate the cooling jet as providing a pleasing sensation on the part of the body directly exposed to it. this measure reflects how well the temperature, velocity, and distribution of the air jet contribute to a feeling of localized comfort.",Generic Terminology
Local Unpleasantness of Jet,"The extent to which occupants perceive the direct impact of the cooling jet as discomforting or irritating. this negative evaluation typically arises when the air jet is too forceful or excessively cool for the area it contacts, leading to localized discomfort.",Generic Terminology
Mean Draught Risk (dr),An averaged index quantifying the likelihood of draft-induced discomfort across multiple body regions or multiple occupants. it aggregates local draught risk assessments into one overall measure for a given environment.,Generic Terminology
Personalized Zone,Poz is defined as an area of the occupied zone in a room consisting of the breathing zone and the personal working zone,Generic Terminology
Respiratory Zone,"The respiratory zone refers to the region immediately surrounding an occupant’s breathing area. in the context of the ventilation analysis, it is the space from which occupants inhale air, making it a critical zone for assessing the exposure to contaminants and ensuring adequate fresh air delivery for maintaining indoor air quality.",Generic Terminology
Thermo-neutral Ambient Condition,"A thermo-neutral ambient condition is defined as an environment where the ambient temperature is set at a level that neither induces a warming nor a cooling response in the human body. this state is characterized by a balance between the body’s heat production and heat loss, resulting in a perception of thermal neutrality.",Generic Terminology
Air Distribution Index for Combined Thermal and Ventilation Effectiveness (adi)ϵt + ϵc,"The air distribution index (adi)ϵt + ϵc is a composite metric that simultaneously assesses thermal comfort and air quality in indoor environments. it is calculated by combining the thermal comfort number (nt.c.) and the air quality number (na.q.), which are derived from several key parameters.",Key Performance Indicators - Objective
Air Distribution Index for Combined Thermal and Ventilation Effectiveness (adi)ϵt + ϵc,"(adi)ϵt + ϵc = (1 - |s|/3) ϵt + (tn/tp) ϵc
 
 ∣s∣ is the absolute value of the average overall thermal sensation over the exposure time
 ​ϵt is the ventilation effectiveness for heat removal
 tn is the room time constant
 tp is the local mean age of air
 ​ϵc is the ventilation effectiveness for contaminant removal.",Key Performance Indicators - Objective
Cop,"In the context of pecs, cop is a device-level efficiency metric defined as the ratio of whole-body heat loss (or the beneficial thermal output) provided to the occupant, divided by the power input to the pecs. a higher cop indicates more energy-efficient thermal management.",Key Performance Indicators - Objective
Corrective Power Efficiency (cpe) / Thermal Correction Capacity Efficiency (tcce),The ratio of power consumed by pecs to its corrective power,Key Performance Indicators - Objective
Energy Consumption of Pecs,"In the context of pecs, energy consumption is an index that quantifies the amount of energy utilized by pecs device to maintain or adjust comfort levels for individual occupants. it reflects the power used by localized heating, cooling, or ventilation devices and is used to evaluate the efficiency of pecs in personalized tailored thermal comfort.",Key Performance Indicators - Objective
Energy Cost,"Energy cost refers to the financial expense associated with the consumption of energy for operating systems, equipment, or processes",Key Performance Indicators - Objective
Energy Savings of Pecs,"Energy savings refers to the reduction in energy use that results from implementing more efficient technologies, systems, or practices within pecs. it indicates how much less energy is consumed compared to conventional systems, highlighting the improved efficiency of personalized environmental controls in providing occupant comfort.",Key Performance Indicators - Objective
Operation Time,Operation time refers to the duration for which a pecs or any other thermal comfort or air quality control device remains actively functioning. it is a critical factor in determining the effectiveness of such systems.,Key Performance Indicators - Objective
Personal Air Utilisation Efficiency (paue),"Personal air utilization efficiency (paue) is a performance metric that quantifies the fraction of the supplied airflow from pecs that is effectively inhaled by an occupant. it represents the system's effectiveness in delivering personalized air directly to the breathing zone while minimizing dispersion and energy losses.
 paue = (vinhaled / vsupplied) * 100 (%)
 ​where:
 vinhaled (l/s or m³/s) = volume flow rate of inhaled personalized air
 vsupplied (l/s or m³/s) = total volume flow rate of personalized air supplied by the system",Key Performance Indicators - Objective
Personal Exposure Effectiveness,"Personal exposure effectiveness is a measure of how well a pecs delivers its intended thermal benefits directly to an individual. it reflects the system's ability to overcome the natural thermal boundary (or plume) created by the body so that the cooling or heating effect reaches the targeted area without causing discomfort, such as draft-induced irritation.",Key Performance Indicators - Objective
Turbulence Intensity (ti),"Turbulence intensity (ti) is a dimensionless parameter that quantifies the level of velocity fluctuations in a turbulent airflow relative to the mean velocity. it is commonly used in indoor air distribution, ventilation studies, and fluid dynamics to assess airflow stability and its impact on thermal comfort, pollutant dispersion, and ventilation efficiency.
 
 ti= (u' / u) x 100 (%)
 where:
 u'(m/s) = root mean square (rms) of velocity fluctuations
 u (m/s) = mean airflow velocity",Key Performance Indicators - Objective
Air Dryness,"A subjective perception of how “dry” or “wet” the indoor air feels, primarily influenced by relative humidity. low humidity can lead to sensations of dryness (e.g., skin or throat irritation), whereas higher humidity may feel moist or clammy.",Key Performance Indicators - Subjective
Air Freshness,"A subjective perception of how “fresh” or “stuffy” the indoor air is. fresh air typically feels clean, odor-free, and well-ventilated, while stuffy air can feel stale or lacking in adequate ventilation.",Key Performance Indicators - Subjective
Air Movement Acceptability (ama),"Air movement acceptability refers to the degree to which building occupants find the airflow within an indoor environment comfortable and satisfactory. factors influencing air movement acceptability include air velocity, temperature, humidity, and individual preferences.",Key Performance Indicators - Subjective
Air Movement Preference Vote (amp),"The air movement preference (amp) vote is a subjective assessment used to gauge an individual's desire for changes in air movement within their immediate environment. typically, participants are asked to indicate their preference using a scale with options such as:
 
 ""less air movement""
 ""no change""
 ""more air movement""",Key Performance Indicators - Subjective
Perceived Air Quality,"Perceived air quality refers to the overall subjective evaluation of the air within an environment, as experienced by its occupants. this perception is shaped by sensory inputs such as odor, temperature, humidity, and airflow, and may not always align directly with objective measurements of air quality. it reflects how fresh, clean, and comfortable the air feels, influencing overall satisfaction and well-being in indoor spaces.",Key Performance Indicators - Subjective
Sensation of Jet,"The immediate physical experience an occupant has when exposed to the cooling jet. this encompasses the tactile perception of the airflow—its speed, temperature difference, and directional impact—on the skin, which can either enhance comfort or lead to discomfort depending on its characteristics.",Key Performance Indicators - Subjective
Pleasantness of Environment,"A broader subjective judgment reflecting how agreeable the overall office environment is. this assessment goes beyond thermal factors to include influences from air quality, acoustics, lighting, and spatial layout, contributing to an environment that is experienced as comfortable and satisfying.",Key Performance Indicators - Subjective
Vertical Jet Exposure,The condition in which an occupant is exposed to a cooling air jet that is directed vertically (either descending from the ceiling or ascending from the floor). this type of exposure affects the localized thermal sensation experienced by the individual and is evaluated in terms of its influence on both comfort and work performance.,Key Performance Indicators - Subjective
Accessibility of Contaminant Source (acs),"Accessibility of contaminant source (acs) assesses the transient impact of a contaminant source on a specific location within a limited time period. it measures how quickly and effectively contaminants reach a target point, providing insight into short-term exposure risks.",Key Performance Indicators - Objective
Accessibility of Supply Air (asa),"An index that measures the ability of a ventilation system to deliver fresh air from each supply inlet to a specific point or zone within a finite time period. asa is particularly useful in transient conditions and emergency scenarios, as it reflects the dynamic impact of each inlet on the local environment, with higher values indicating quicker access to fresh air.",Key Performance Indicators - Objective
Age of Air,"An index introduced to assess ventilation performance by quantifying the time required for supply air to travel from its entry point to a specified location within an indoor space. conventionally, the age at air diffuser inlets is assumed to be zero—a practice suited to systems without recirculation. lower age values indicate more rapid air exchange and improved indoor air quality.",Key Performance Indicators - Objective
Air Change Effectiveness (ace),"It is defined as the ratio of the age of air that would occur throughout the room if the air were perfectly mixed to the average age of air where occupants breathe. an ace value of 1 indicates perfect mixing, where the air in the breathing zone is as old as the air being exhausted. values greater than 1 suggest that the ventilation system is effectively delivering fresh air to the breathing zone, while values less than 1 indicate that the system is less effective in this regard.",Key Performance Indicators - Objective
Air Change Per Hour (ach),An index that measures how many times the air in a space is replaced with fresh air in one hour. also known as air exchange rate or air change rate.,Key Performance Indicators - Objective
Air Distribution Performance Index (adpi),"Adpi is defined as the percentage of measurement points within the occupied zone that meet specific comfort criteria, including acceptable air velocity and temperature differences. a higher adpi indicates a more effective air distribution system, contributing to improved occupant comfort.",Key Performance Indicators - Objective
Contaminant Removal Effectiveness,"Contaminant removal effectiveness is a metric that quantifies the ability of a ventilation system to lower indoor contaminant concentrations relative to an ideal fully mixed scenario, accounting for spatial non-uniformity from source location, intensity, and airflow patterns. indices used to evaluate this effectiveness include ventilation efficiency (relative to mixing ventilation), sve1 (spatial average concentration), sve2 (mean diffusion radius), sve5 (exhaust contribution via time-reversed tracing), accessibility of contaminant source (acs), and response coefficient of contaminant source (rccs).",Key Performance Indicators - Objective
Deposited Fraction (indirect Contamination),"An index indicating the fraction of airborne particles that settle on nearby surfaces (e.g., computer, desk, floor, occupant surfaces) relative to the initial concentration at the contaminant source. it quantifies the indirect contamination pathway via particle deposition.",Key Performance Indicators - Objective
Exposure Risk – Direct,The likelihood that a contaminant-laden exhalation jet from one individual travels directly into another occupant’s breathing zone with minimal dilution. this direct path can significantly increase the potential for infection or pollutant inhalation.,Key Performance Indicators - Objective
Exposure Risk – Indirect,"The likelihood that contaminants exhaled by one occupant become dispersed and mixed by general ventilation before eventually reaching another occupant’s breathing zone. though diluted, indirect exposure can still pose risks if the contaminant persists in the indoor air.",Key Performance Indicators - Objective
Exposure Risk Index,"A dimensionless parameter comparing contaminant concentration in an occupant’s breathing zone (cbz) to that in the general environment (ce). values above 1 suggest higher-than-ambient contamination at the breathing zone, whereas values below 1 indicate a protective effect of ventilation or localized airflow.",Key Performance Indicators - Objective
Fresh Air Ratio,The proportion of outdoor (fresh) air supplied in a ventilation system relative to recirculated air. high fresh air ratios improve indoor air quality but can increase energy consumption; lower ratios save energy yet may elevate the risk of contaminant build-up.,Key Performance Indicators - Objective
Intake Fraction (direct Contamination),It is the ratio of the particle concentration measured at a susceptible occupant’s breathing zone to the source concentration. this value reflects the percentage of emitted contaminants that ultimately reach and are inhaled by another individual.,Key Performance Indicators - Objective
Local Air Change Index,"Also called the local air change (εa,p) or ventilation efficiency at a point, it is the ratio of the nominal age of air (𝜏n) to the local mean age of air (τ p). higher values imply faster air renewal and potentially better pollutant removal at that local zone.",Key Performance Indicators - Objective
Local Purging Flow Rate (lpfr),"A localized measure derived from the overall purging flow rate that indicates the effective delivery of fresh air to a specific point or zone within a room. lpfr evaluates how well a ventilation system purges contaminants from targeted areas, where a higher lpfr suggests that the point receives a greater proportion of fresh air relative to contaminants.",Key Performance Indicators - Objective
Mean Age of Air / Local Mean Age of Air,"The average residence time of air from its entry point (e.g., supply diffuser) to a specified location in a room. a lower mean age of air signifies fresher air at that location, whereas a higher mean age suggests slower ventilation effectiveness.",Key Performance Indicators - Objective
Personal Exposure Effectiveness,"A performance metric for personalized ventilation, quantifying how effectively clean or conditioned air is delivered to an occupant’s breathing zone compared to the ambient air distribution. higher values indicate a greater reduction in pollutant or thermal discomfort exposure.",Key Performance Indicators - Objective
Personal Exposure Effectiveness (pee) Index,"The personal exposure effectiveness (pee) index is a metric used to assess the efficiency of a personalized ventilation (pv) system in delivering clean air directly to an individual's breathing zone while minimizing exposure to ambient pollutants. it quantifies how much of the supplied fresh air is actually inhaled by the user compared to the surrounding environment. a higher pee index indicates more effective air delivery, leading to improved inhaled air quality and reduced exposure to contaminants.
 
 pee = (croom - cbz)/(croom - cpv)*100 (%)
 c room = contaminant concentration in the general room air
 cbz = contaminant concentration in the inhaled air (breathing zone)
 c𝑃𝑉 = contaminant concentration in the supplied personalized ventilation air",Key Performance Indicators - Objective
Pollutant Exposure Reduction (per),"An indicator of how much a particular ventilation or air distribution strategy lowers occupant exposure to airborne contaminants. it compares exposure levels with and without the intervention, offering insight into the effectiveness of personalized or localized ventilation solutions.",Key Performance Indicators - Objective
Purging Flow Rate (pfr),"The purging flow rate (pfr) refers to the rate at which air is supplied to a space to remove contaminants. this airflow is intended to displace stale air, ensuring the environment remains fresh by pushing pollutants away from the occupied zone. the effectiveness of the purging process depends on the magnitude of the pfr; a higher pfr results in a more efficient removal of contaminants, thereby enhancing air quality and occupant comfort",Key Performance Indicators - Objective
Re-inhaled Exposure Index,It assesses the proportion of exhaled air that an occupant re-inhales due to interactions between personalized airflow and exhalation jets. a higher index suggests less effective separation of inhaled and exhaled airstreams.,Key Performance Indicators - Objective
Response Coefficient of Contaminant Source (rccs),Response coefficient of contaminant source (rccs) quantifies the influence of a pulse-like contaminant release on the concentration observed at any given point. this index describes how variations in the contaminant source intensity translate into local changes in pollutant levels over time.,Key Performance Indicators - Objective
Risk Quotient (rq),"A dimensionless metric for evaluating potential hazards or exposures by comparing the measured or estimated level of a contaminant or stressor to a reference or threshold value. if rq exceeds 1, it suggests a higher likelihood of adverse effects, warranting further investigation or mitigation.",Key Performance Indicators - Objective
Sve1,Sve1 represents the spatial average of contaminant concentration when pollutants are released from a single-point source. it provides an intuitive measure of how effectively the ventilation system dilutes contaminants throughout the indoor environment.,Key Performance Indicators - Objective
Sve2,"Sve2 quantifies the mean radius of contaminant diffusion, effectively characterizing the expansion range of the contaminant plume. a lower sve2 value indicates a more confined spread, reflecting a more localized contaminant presence.",Key Performance Indicators - Objective
Sve4,"An index developed to quantify the influence of individual supply air inlets on local air distribution under steady-state conditions. sve4 assesses how each inlet contributes to the ventilation performance at a specific point, thereby helping to optimize inlet placement and airflow patterns in the design of ventilation systems.",Key Performance Indicators - Objective
Sve5,"Sve5 uses a time-reversed tracing method to evaluate the contribution of individual exhaust openings in removing contaminants. this index captures the effectiveness of each exhaust point in drawing out pollutants, which is critical when multiple exhausts are present.",Key Performance Indicators - Objective
Total Air Age,"An extension of the age of air concept that accounts for both the direct air delivery and the effects of air recirculation within the system. this index provides a comprehensive measure of how long air has been in the space, including contributions from recirculated air, thereby offering a more accurate representation of air freshness in complex ventilation scenarios.",Key Performance Indicators - Objective
Ventilation Efficiency,"Ventilation efficiency is defined as the relative effectiveness for contaminant removal compared with a fully mixed ventilation system. this index quantifies how well a given ventilation strategy dilutes or extracts contaminants, with values indicating the performance over the entire space or at specific zones relative to the ideal mixing condition.",Key Performance Indicators - Objective
Odor Intensity,"Odor intensity is the perceived strength or magnitude of a smell within an environment. it reflects how potent or noticeable an odor is to an individual and is typically evaluated using subjective scales. this measure can be influenced by the concentration of odorants, airflow conditions, humidity, and individual sensitivity.",Key Performance Indicators - Subjective
Coupled Cfd - Thermoregulation Model,An integrated approach that combines cfd simulations with thermoregulation models to predict how a device/hardware/garment affects human thermal responses. this coupling allows for a comprehensive analysis of both the environmental factors and physiological processes influencing thermal comfort.,Modelling Techniques
Coupled Model,"When two models exchange data with each other so that they can evolve as a whole.
 
 e.g.- integration of a computational fluid dynamics (cfd) model with jos 3 thermoregulation model. ​ this integration allows for the analysis of the performance of air ventilation clothing by predicting heat transfer coefficients and physiological responses under different conditions.",Modelling Techniques
Electrical Manikin Tests,"Experimental procedures that use a manikin equipped with electrical sensors. the manikin mimics the body’s heat exchange processes, allowing researchers to assess how different environmental factors like air temperature, humidity, and air movement affect thermal comfort, which is useful in evaluating energy performance and occupant comfort in indoor spaces.",Modelling Techniques
Isothermal Analysis,"This refers to a computational approach where the temperature throughout the flow field is assumed to be constant. in the cfd analysis, isothermal analysis simplifies the simulation by neglecting thermal gradients, thereby focusing solely on the airflow patterns without accounting for buoyancy effects due to temperature variations.",Modelling Techniques
Multi-nodal Human Thermal Comfort Numerical Model,"A computational approach that segments the human body into multiple “nodes,” each with distinct thermal and physiological properties. this model predicts how each body region responds to environmental conditions, offering detailed insights into overall thermal comfort.",Modelling Techniques
