Terminology,Definition
Effective Draught Temperature (edt),"Effective draught temperature (edt) is a parameter used to assess the comfort level of an indoor environment by considering both the air temperature and air movement. it is calculated as the difference between the local air temperature and the average room temperature, adjusted for the local air velocity. edt helps in evaluating the likelihood of occupants experiencing discomfort due to drafts, with lower values indicating a more comfortable environment."
Effective Temperature (et),Effective temperature (et) is a measure that combines both air temperature and humidity to represent the overall thermal comfort or sensation felt by an occupant.
Electrical Manikin Tests,"Experimental procedures that use a manikin equipped with electrical sensors. the manikin mimics the body’s heat exchange processes, allowing researchers to assess how different environmental factors like air temperature, humidity, and air movement affect thermal comfort, which is useful in evaluating energy performance and occupant comfort in indoor spaces."
Electrodermal Activity,"A measure of the skin’s electrical conductance, influenced by sweat gland activity. eda is a common psychophysiological indicator of stress and is recorded via sensors placed on the skin."
Electroencephalography,"A non-invasive technique for measuring the brain’s electrical activity via electrodes on the scalp. it provides insights into cognitive states, alertness, and various aspects of brain function."
Energy Consumption of Pecs,"In the context of pecs, energy consumption is an index that quantifies the amount of energy utilized by pecs device to maintain or adjust comfort levels for individual occupants. it reflects the power used by localized heating, cooling, or ventilation devices and is used to evaluate the efficiency of pecs in personalized tailored thermal comfort."
Energy Cost,"Energy cost refers to the financial expense associated with the consumption of energy for operating systems, equipment, or processes"
Energy Savings of Pecs,"Energy savings refers to the reduction in energy use that results from implementing more efficient technologies, systems, or practices within pecs. it indicates how much less energy is consumed compared to conventional systems, highlighting the improved efficiency of personalized environmental controls in providing occupant comfort."
Entrainment,"Entrainment is the process by which a fluid flow (such as air or water) draws in and transports surrounding fluid or particles. in ventilation systems, entrainment occurs when a high-velocity air stream induces the movement of ambient air, facilitating the removal of heat, moisture, and contaminants from a space."
Equivalent Contact Temperature (ect),"A theoretical, uniform-surface temperature used to represent how much conduction-based heat an occupant exchanges with a seat or other contact surface under near-zero air velocity. by matching the actual conductive heat flux—while simplifying or ignoring airflow effects—ect provides a straightforward way to evaluate local thermal comfort at the occupant–surface interface in seat-based/ contact based or similar pecs."
Equivalent Environment,"A conceptual, uniform reference environment that simulates the overall thermal sensation and heat exchange of the actual, non-uniform environment at the occupant–seat interface. in this equivalent environment, variations in air velocity and humidity are disregarded and active seat conditioning is disabled, so that heat transfer occurs solely by conduction. this simplification allows the conductive heat transfer in the equivalent environment to match the combined effects of conduction, moisture flow, and thermal conditioning observed in the real environment."
Equivalent Heat Flux (qect),"It is the theoretical heat flow in the contact area under the equivalent contact temperature conditions. this metric encapsulates the net conductive exchange that would occur if the environment were replaced by the simplified, uniform equivalent."
Equivalent Homogeneous Temperature (eht),"A scalar temperature that represents a complex, non-uniform thermal environment with a single, uniform value. eht is defined such that the overall heat exchange between the environment and the human body is equivalent to that occurring in the actual non uniform setting. in pecs applications, eht provides a simplified metric for assessing both local (contact area) and global thermal comfort by integrating the effects of various heat transfer processes into one representative temperature value."
Equivalent Temperature (et),"A general term describing the single temperature of a notional uniform environment in which a person (or body segment) would experience the same net heat loss as in the actual, non-uniform environment. standards such as din en iso 14505-2 formalize et for thermal comfort evaluations, originally focusing on non-contact areas but also adapted for seat-contact conditions."
Equivalent Temperature (manikin),"Manikin-based equivalent temperature (teq) is defined as the temperature of a uniform enclosure in which a
 thermal manikin with realistic skin surface temperatures would lose heat at the same rate as it would in the actual environment."
"Evaporative Heat Flux""","The rate of heat removal due to moisture evaporation (e.g., sweat) from the skin or clothing surfaces. this latent heat exchange becomes particularly important in warm or humid conditions where perspiration is a key factor in maintaining thermal balance."
Exposure Risk – Direct,The likelihood that a contaminant-laden exhalation jet from one individual travels directly into another occupant’s breathing zone with minimal dilution. this direct path can significantly increase the potential for infection or pollutant inhalation.
Exposure Risk – Indirect,"The likelihood that contaminants exhaled by one occupant become dispersed and mixed by general ventilation before eventually reaching another occupant’s breathing zone. though diluted, indirect exposure can still pose risks if the contaminant persists in the indoor air."
Exposure Risk Index,"A dimensionless parameter comparing contaminant concentration in an occupant’s breathing zone (cbz) to that in the general environment (ce). values above 1 suggest higher-than-ambient contamination at the breathing zone, whereas values below 1 indicate a protective effect of ventilation or localized airflow."
Exposure Time,"The duration over which an individual is subjected to a given environmental condition or contaminant level. short exposure intervals may mitigate adverse health effects or discomfort, whereas prolonged exposures can elevate the risk of infection or thermal stress."
Eye Dryness,"Eye dryness is a specific form of eye irritation characterized by insufficient tear production or increased tear evaporation, leading to a dry, gritty, or fatigued sensation in the eyes. it is commonly aggravated by air movement from ventilation systems, particularly when airflow is directed at the face, as well as by low indoor humidity and prolonged exposure to screen-based work. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%"
Irritation of Eyes / Eyes Irritation,"Eye irritation refers to a subjective discomfort sensation in the eyes caused by environmental factors such as low humidity, air movement, thermal conditions, and indoor pollutants. it may manifest as redness, itching, burning, or excessive tearing. in the context of pecs, eye irritation is influenced by airflow direction, cooling intensity, and tear film stability, impacting overall occupant comfort. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%"
Fresh Air Ratio,The proportion of outdoor (fresh) air supplied in a ventilation system relative to recirculated air. high fresh air ratios improve indoor air quality but can increase energy consumption; lower ratios save energy yet may elevate the risk of contaminant build-up.
Fuzzy System,Decision-making strategy when a machine learning framework or artificial intelligence is used. it may be stated generally as evaluating actual variable values ranging from 0 and 1. fuzzy logic is applied to represent real numbers between 0 and 1
Heart Rate Variability,"The variation in the time interval between consecutive heartbeats. hrv is an important indicator of autonomic nervous system activity, commonly used to assess stress, fatigue, and overall cardiovascular health."
Heat Flux by Permeation Into the Seat,"This term describes moisture-related heat transfer through vapor permeation into seat materials. it accounts for the diffusion of water vapor from the occupant’s skin/clothing into the seat structure, contributing to overall latent heat exchange at the contact area."
Heat Flux by Seat Heater,It is the thermal energy provided by an integrated seat heating element. this localized heating influences the occupant’s thermal sensation by elevating the contact surface temperature.
Heat Flux Through Clothing,"It is the net thermal energy passing through clothing layers between the skin and the environment or seat. in contact areas, conduction typically dominates, though convective and radiative components may also be present."
Heat Flux Through Seat,"It is the overall thermal energy transferred across seat layers from the occupant’s body to the ambient environment (or vice versa). it includes conductive, convective, and radiative components within the seat materials."
Heat Transfer Coefficient for Clothing – Contact Area,"This coefficient quantifies the rate of conductive heat transfer through clothing in the seat-contact region, reflecting how effectively heat flows across the garment layers where the body directly meets the seat."
Heat Transfer Coefficient for Seating – Contact Area,It characterizes the conductive heat transfer between the seat surface and occupant at the contact interface. this parameter depends on the thermal properties and thickness of the seat material.
Heating Pecs,Pecs device that delivers heating
Heating Performance of Pecs,"Heating performance of pecsrefers to the system’s ability to deliver localized heating efficiently by targeting specific body areas, ensuring thermal comfort while minimizing energy use. it can be assessed based on metrics such as temperature correction capacity, corrective power, temeprature correction capacity efficiency etc."
Heating with Ventilation,Personalized radiative heating refers to a localized heating strategy that uses radiative heat transfer mechanism.
Human-centered Closed Loop Control,"Human-centered closed loop control is a dynamic, automated control approach that actively incorporates real-time sensor data and user feedback to regulate environmental conditions. the system operates in a continuous feedback loop—monitoring environmental parameters and human responses, processing this information via predictive models, and adjusting actuators accordingly—to maintain or achieve optimal thermal comfort tailored to individual needs."
Impinge Jet Ventilation,"Type of background ventilation system - ijv delivers fresh air to a room based on the impinging jet principle (where a high-velocity jet of fluid, typically air, is directed towards a surface or an obstacle. when the jet strikes the surface, it spreads out radially along the surface, creating a distinct flow pattern). the supply device is the duct itself which delivers the supplied air at a certain height above the floor, and the air extraction is usually located at a high level near the ceiling"
Incoming Heat Flux by Seat Ventilation,"It is the thermal energy introduced to the contact area via ventilated seat systems, typically aiming to cool or dry the occupant’s back and buttocks by delivering conditioned air into the seat microclimate."
Infrared Thermography,"Infrared thermography (irt) is a non-contact imaging technique that captures surface temperature variations using infrared radiation. in pecs research, it is used to assess skin temperature distribution, evaluate localized heating and cooling effectiveness, and monitor thermal interactions between occupants and their environment."
Inhaled Air Temperature,"The temperature of the air entering an occupant’s respiratory system. studies indicate that cooler inhaled air can affect autonomic regulation, increasing heart rate variability (hrv) and potentially influencing thermal comfort and stress responses"
Intake Fraction (direct Contamination),It is the ratio of the particle concentration measured at a susceptible occupant’s breathing zone to the source concentration. this value reflects the percentage of emitted contaminants that ultimately reach and are inhaled by another individual.
Intermittent Air Jet System,"An intermittent air jet system involves the periodic emission of high-velocity air jets directed toward the occupant's breathing zone. this approach enhances convective cooling by delivering bursts of cool air, effectively removing heat from the occupant's body and improving thermal comfort. the intermittent nature of the airflow allows for efficient cooling while minimizing energy consumption and preventing discomfort associated with continuous high-velocity air streams."
Intermittent Gusts,"Intermittent gusts are bursts of air that fluctuate at low frequencies, typically causing dynamic changes in thermal comfort. these changes in airspeed are perceived as cooling fluctuations that are more significant to comfort perception than steady, constant airflow. in natural ventilation systems, intermittent gusts can provide a more effective cooling experience by creating transient changes in the rate of cooling, influencing how occupants perceive comfort."
Irritation of Lips,"A subjective sensation of dryness, chapping, or discomfort on the lips, often triggered by low humidity, high air velocity, or exposure to extreme temperatures. this irritation can impact perceived air quality and overall comfort."
Irritation of Nose,"A subjective experience of dryness, itchiness, or discomfort in the nasal passages, commonly arising from insufficient humidity, excessive airflow, or airborne irritants. persistent nose irritation may reduce occupant satisfaction with the indoor environment."
Irritation of Skin,"A subjective feeling of dryness, tightness, itching, or sensitivity on the skin, typically resulting from environmental stressors such as low relative humidity, high temperatures, or contact with allergens. skin irritation is often used as an indicator of indoor environmental quality."
Isothermal Air Convection,"Isothermal air convection refers to the process of using airflows at a constant temperature to transfer heat to or from a body or space. in the context of thermal comfort, it involves directing air at a steady temperature toward specific areas to enhance comfort without changing the overall ambient temperature."
Isothermal Airflow,"Isothermal airflow refers to the movement of air at a constant temperature, where the thermal energy remains unchanged throughout the flow"
Isothermal Analysis,"This refers to a computational approach where the temperature throughout the flow field is assumed to be constant. in the cfd analysis, isothermal analysis simplifies the simulation by neglecting thermal gradients, thereby focusing solely on the airflow patterns without accounting for buoyancy effects due to temperature variations."
"K-dependence Threelayer
 log Law","This concept pertains to the near-wall treatment in turbulence modeling. it divides the near-wall region into three distinct layers—the viscous sublayer, the buffer layer, and the logarithmic layer—and incorporates the turbulence kinetic energy (k) into the formulation. this approach refines the prediction of velocity profiles and shear stresses in the boundary layer, ensuring better accuracy in simulating the flow dynamics adjacent to walls."
K-e Model,"The k-ε (k-epsilon) model is a widely used two-equation turbulence model that solves transport equations for turbulence kinetic energy (k) and its dissipation rate (ε). in the cfd study of the lavatory, this model is employed to predict the turbulent characteristics of the airflow, balancing computational efficiency with reasonable accuracy for engineering applications."
Lagrangian Relaxation,Relaxation method which approximates a difficult problem of constrained optimization by a simpler problem
Local Air Change Index,"Also called the local air change (εa,p) or ventilation efficiency at a point, it is the ratio of the nominal age of air (𝜏n) to the local mean age of air (τ p). higher values imply faster air renewal and potentially better pollutant removal at that local zone."
Local Air Jets,"Local air jets are targeted streams of air delivered to specific body areas or spaces to enhance thermal comfort. these air jets are typically used to correct temperature imbalances in non-neutral ambient environments by directing airflow at the occupant's body, creating a localized cooling or heating effect."
Local Boundary Conditions,"Local boundary conditions refer to the specific constraints or parameters applied at the interface between different regions in a simulation or physical system. these conditions define how heat, mass, or momentum transfer occurs at localized points within the model, ensuring accurate representation of interactions between surfaces, materials, and the surrounding environment. in a computational model of air ventilation clothing, a local boundary condition could define the heat flux between the wearer's skin and the inner surface of the garment."
Local Exhaust Ventilation,"Local exhaust ventilation (lev) is a ventilation strategy that captures and removes airborne contaminants directly at their source, preventing their dispersion into the general workspace. this approach is commonly used in various industries to control exposure to hazardous substances, including dust, fumes, vapors, and gases. a typical lev system consists of a hood to capture contaminants, ducting to transport the contaminated air, an air cleaner or filter to remove pollutants, a fan to move the air, and an exhaust point to discharge the cleaned air safely."
Local Pleasantness of Jet,"The degree to which occupants subjectively evaluate the cooling jet as providing a pleasing sensation on the part of the body directly exposed to it. this measure reflects how well the temperature, velocity, and distribution of the air jet contribute to a feeling of localized comfort."
Local Purging Flow Rate (lpfr),"A localized measure derived from the overall purging flow rate that indicates the effective delivery of fresh air to a specific point or zone within a room. lpfr evaluates how well a ventilation system purges contaminants from targeted areas, where a higher lpfr suggests that the point receives a greater proportion of fresh air relative to contaminants."
Local Skin Temperature,"The temperature of a specific body region, which is influenced by environmental conditions, clothing, and pecs. it plays a crucial role in localized thermal perception and whole-body thermal comfort."
Local Stimuli,"External thermal influences (such as heating, cooling, or airflow) applied to a specific body segment to modify its thermal state and comfort level."
Local Thermal Comfort,"The subjective sensation of thermal comfort experienced at a specific body segment, which may differ from whole-body comfort. it is influenced by local skin temperature and targeted thermal stimuli."
Local Thermal Sensation,"The subjective temperature perception experienced by a particular body region, which may differ from sensations felt elsewhere."
Local Unpleasantness of Jet,"The extent to which occupants perceive the direct impact of the cooling jet as discomforting or irritating. this negative evaluation typically arises when the air jet is too forceful or excessively cool for the area it contacts, leading to localized discomfort."
Lumped Parameter System,"A simplified thermal model that groups complex physical domains into discrete “nodes” with aggregated properties (e.g., environment, seat surfaces, clothing layers, skin). each node exchanges heat and moisture with the others, facilitating tractable analysis of multi-node occupant–seat–environment interactions."
Manikin Based Equivalent Temperature Teq (manikin),"Manikin-based equivalent temperature is defined as the temperature of a uniform environment in which a thermal manikin, with realistic skin surface temperatures, would exchange the same amount of heat by convection and radiation as it does in the actual, non-uniform environment. this metric is instrumental in assessing thermal comfort, as it accounts for the combined effects of air temperature, radiant temperature, and air movement on the human body"
Mean Age of Air / Local Mean Age of Air,"The average residence time of air from its entry point (e.g., supply diffuser) to a specified location in a room. a lower mean age of air signifies fresher air at that location, whereas a higher mean age suggests slower ventilation effectiveness."
Mean Distal Skin Temperature,"Mean distal skin temperature refers to the average temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. these areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort."
Mean Draught Risk (dr),An averaged index quantifying the likelihood of draft-induced discomfort across multiple body regions or multiple occupants. it aggregates local draught risk assessments into one overall measure for a given environment.
Mixing Ventilation,"Mixing ventilation is a strategy where conditioned air is supplied at high velocities to a space, promoting the mixing of supply air with room air. this process results in a uniform distribution of air temperature, humidity, and quality throughout the room. mixing ventilation is commonly used in various applications, including offices, classrooms, and industrial spaces, to maintain consistent environmental conditions."
Multi-agent Controls Systems,"Multi-agent control systems involve multiple intelligent agents, each capable of performing some level of control, and working collaboratively to achieve a specific set of system-wide objectives. in the context of pecs, macs could be used to optimize various aspects like temperature, lighting, and air quality across different zones or settings, enhancing both efficiency and user comfort."
Multi-nodal Human Thermal Comfort Numerical Model,"A computational approach that segments the human body into multiple “nodes,” each with distinct thermal and physiological properties. this model predicts how each body region responds to environmental conditions, offering detailed insights into overall thermal comfort."
"Multi-objective Optimization
 (moop) Problem","This problem involves optimizing two or more conflicting objectives simultaneously under a given set of constraints. in intelligent building systems, this could relate to optimizing for energy efficiency while maximizing user comfort, requiring trade-offs between different comfort parameters and energy usage."
Multi-segment Physiology,"Multi-segment physiology in a broader sense refers to the scientific study of how various parts of the body respond independently to environmental stimuli, focusing on the differential thermal, mechanical, and physiological behaviors of distinct body segments. this field examines how different body parts—like the head, torso, arms, and legs—react uniquely to changes in temperature, pressure, and other factors."
Neural Network Controls,"Neural network controls utilize artificial neural networks for controlling dynamic systems. these controls are a form of adaptive control that employs machine learning techniques to model complex relationships between inputs and outputs or to predict future states of a system. in building environments, nn controls can adaptively manage energy consumption and maintain comfort levels by learning from historical data and real-time feedback."
Neutral Temperature,"Neutral temperature is defined as the ambient temperature at which the majority of people feel neither too warm nor too cold, experiencing thermal comfort. this temperature is used as a benchmark in various thermal comfort models to ensure environments are optimized for human comfort."
Non-target Segments,Body regions that do not receive direct thermal stimuli from a pecs but may still be indirectly affected by changes in overall body heat distribution.
