Words,Definition,Category
Irritation of Lips,"A subjective sensation of dryness, chapping, or discomfort on the lips, often triggered by low humidity, high air velocity, or exposure to extreme temperatures. this irritation can impact perceived air quality and overall comfort.",Generic Terminology
Irritation of Nose,"A subjective experience of dryness, itchiness, or discomfort in the nasal passages, commonly arising from insufficient humidity, excessive airflow, or airborne irritants. persistent nose irritation may reduce occupant satisfaction with the indoor environment.",Generic Terminology
Irritation of Skin,"A subjective feeling of dryness, tightness, itching, or sensitivity on the skin, typically resulting from environmental stressors such as low relative humidity, high temperatures, or contact with allergens. skin irritation is often used as an indicator of indoor environmental quality.",Generic Terminology
Isothermal Air Convection,"Isothermal air convection refers to the process of using airflows at a constant temperature to transfer heat to or from a body or space. in the context of thermal comfort, it involves directing air at a steady temperature toward specific areas to enhance comfort without changing the overall ambient temperature.",Generic Terminology
Isothermal Airflow,"Isothermal airflow refers to the movement of air at a constant temperature, where the thermal energy remains unchanged throughout the flow",Generic Terminology
Isothermal Analysis,"This refers to a computational approach where the temperature throughout the flow field is assumed to be constant. in the cfd analysis, isothermal analysis simplifies the simulation by neglecting thermal gradients, thereby focusing solely on the airflow patterns without accounting for buoyancy effects due to temperature variations.",Modelling Techniques
Local Air Jets,"Local air jets are targeted streams of air delivered to specific body areas or spaces to enhance thermal comfort. these air jets are typically used to correct temperature imbalances in non-neutral ambient environments by directing airflow at the occupant's body, creating a localized cooling or heating effect.",Generic Terminology
Local Boundary Conditions,"Local boundary conditions refer to the specific constraints or parameters applied at the interface between different regions in a simulation or physical system. these conditions define how heat, mass, or momentum transfer occurs at localized points within the model, ensuring accurate representation of interactions between surfaces, materials, and the surrounding environment. in a computational model of air ventilation clothing, a local boundary condition could define the heat flux between the wearer's skin and the inner surface of the garment.",Generic Terminology
Local Pleasantness of Jet,"The degree to which occupants subjectively evaluate the cooling jet as providing a pleasing sensation on the part of the body directly exposed to it. this measure reflects how well the temperature, velocity, and distribution of the air jet contribute to a feeling of localized comfort.",Generic Terminology
Local Skin Temperature,"The temperature of a specific body region, which is influenced by environmental conditions, clothing, and pecs. it plays a crucial role in localized thermal perception and whole-body thermal comfort.",Thermophysiology
Local Stimuli,"External thermal influences (such as heating, cooling, or airflow) applied to a specific body segment to modify its thermal state and comfort level.",Thermophysiology
Local Thermal Comfort,"The subjective sensation of thermal comfort experienced at a specific body segment, which may differ from whole-body comfort. it is influenced by local skin temperature and targeted thermal stimuli.",Thermophysiology
Local Thermal Sensation,"The subjective temperature perception experienced by a particular body region, which may differ from sensations felt elsewhere.",Thermophysiology
Local Unpleasantness of Jet,"The extent to which occupants perceive the direct impact of the cooling jet as discomforting or irritating. this negative evaluation typically arises when the air jet is too forceful or excessively cool for the area it contacts, leading to localized discomfort.",Generic Terminology
Manikin Based Equivalent Temperature Teq (manikin),"Manikin-based equivalent temperature is defined as the temperature of a uniform environment in which a thermal manikin, with realistic skin surface temperatures, would exchange the same amount of heat by convection and radiation as it does in the actual, non-uniform environment. this metric is instrumental in assessing thermal comfort, as it accounts for the combined effects of air temperature, radiant temperature, and air movement on the human body",Thermophysiology
Mean Distal Skin Temperature,"Mean distal skin temperature refers to the average temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. these areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort.",Thermophysiology
Mean Draught Risk (dr),An averaged index quantifying the likelihood of draft-induced discomfort across multiple body regions or multiple occupants. it aggregates local draught risk assessments into one overall measure for a given environment.,Generic Terminology
Multi-nodal Human Thermal Comfort Numerical Model,"A computational approach that segments the human body into multiple “nodes,” each with distinct thermal and physiological properties. this model predicts how each body region responds to environmental conditions, offering detailed insights into overall thermal comfort.",Modelling Techniques
Multi-segment Physiology,"Multi-segment physiology in a broader sense refers to the scientific study of how various parts of the body respond independently to environmental stimuli, focusing on the differential thermal, mechanical, and physiological behaviours of distinct body segments. this field examines how different body parts—like the head, torso, arms, and legs—react uniquely to changes in temperature, pressure, and other factors.",Thermophysiology
Neutral Temperature,"Neutral temperature is defined as the ambient temperature at which the majority of people feel neither too warm nor too cold, experiencing thermal comfort. this temperature is used as a benchmark in various thermal comfort models to ensure environments are optimized for human comfort.",Thermophysiology
Non-target Segments,Body regions that do not receive direct thermal stimuli from a pecs but may still be indirectly affected by changes in overall body heat distribution.,Thermophysiology
Operation Time,Operation time refers to the duration for which a pecs or any other thermal comfort or air quality control device remains actively functioning. it is a critical factor in determining the effectiveness of such systems.,Key Performance Indicators - Objective
Outgoing Heat Flux by Seat Ventilation,It is the heat and moisture extracted from the occupant–seat interface by the seat ventilation system. this outflow helps regulate local temperature and humidity in the contact region.,Thermophysiology
Overall Thermal Sensation,"This is the integrated, subjective perception of the thermal environment that accounts for the combined sensations from all body regions. it reflects the general feeling of warmth or coldness experienced by an individual, providing an overall index of thermal comfort or discomfort.",Thermophysiology
Partial Thermal Sensation,"Partial thermal sensation refers to the subjective perception of warmth or coolness in a specific body region rather than the whole body. it is influenced by localized environmental factors, airflow, radiant heat, and contact with surfaces.",Thermophysiology
Partial-body Cooling,"This involves applying cooling stimuli to only a selected portion of the body rather than the entire body. in practical terms, it means that only a specific area (e.g., the face or hands) receives cooling, which can help alleviate thermal discomfort without altering the thermal state of the whole body.",Thermophysiology
Partial-body Heating,"This is the targeted application of heat to a specific area of the body, rather than heating the entire body uniformly. in extremely cold environments, partial-body heating is used to improve comfort by warming key body regions that contribute significantly to overall thermal sensation while minimizing the risk of overheating other areas.",Thermophysiology
Perceived Air Quality,"Perceived air quality refers to the overall subjective evaluation of the air within an environment, as experienced by its occupants. this perception is shaped by sensory inputs such as odor, temperature, humidity, and airflow, and may not always align directly with objective measurements of air quality. it reflects how fresh, clean, and comfortable the air feels, influencing overall satisfaction and well-being in indoor spaces.",Key Performance Indicators - Subjective
Perceptual Heat Strain Index,Measures the thermal strain in individuals through the thermal sensation and the borg rating of perceived exertion for physical activity intensity level,Key Performance Indicators - Objective
Personal Air Utilisation Efficiency (paue),"Personal air utilization efficiency (paue) is a performance metric that quantifies the fraction of the supplied airflow from pecs that is effectively inhaled by an occupant. it represents the system's effectiveness in delivering personalized air directly to the breathing zone while minimizing dispersion and energy losses.
 paue = (vinhaled / vsupplied) * 100 (%)
 ​where:
 vinhaled (l/s or m³/s) = volume flow rate of inhaled personalized air
 vsupplied (l/s or m³/s) = total volume flow rate of personalized air supplied by the system",Key Performance Indicators - Objective
Personal Exposure Effectiveness,"Personal exposure effectiveness is a measure of how well a pecs delivers its intended thermal benefits directly to an individual. it reflects the system's ability to overcome the natural thermal boundary (or plume) created by the body so that the cooling or heating effect reaches the targeted area without causing discomfort, such as draft-induced irritation.",Key Performance Indicators - Objective
Personalized Zone,Poz is defined as an area of the occupied zone in a room consisting of the breathing zone and the personal working zone,Generic Terminology
Pleasantness of Environment,"A broader subjective judgment reflecting how agreeable the overall office environment is. this assessment goes beyond thermal factors to include influences from air quality, acoustics, lighting, and spatial layout, contributing to an environment that is experienced as comfortable and satisfying.",Key Performance Indicators - Subjective
Predicted Mean Vote (pmv),"Predicted mean vote (pmv) is a thermal comfort index that quantifies the average thermal sensation of a group of people based on environmental and personal factors. it is calculated using air temperature, humidity, mean radiant temperature, air velocity, clothing insulation, and metabolic rate. pmv ranges from -3 (cold) to +3 (hot), with 0 representing neutral comfort, and is widely used in thermal comfort assessments",Thermophysiology
Predicted Percentage of Dissatisfied (ppd),Predicted percentage of dissatisfied (ppd) is a thermal comfort index that estimates the percentage of people likely to feel uncomfortable in a given thermal environment. it is derived from the predicted mean vote (pmv) and quantifies discomfort due to thermal deviations from neutrality. ppd ranges from 5% (optimal comfort) to 100% (extreme discomfort),Thermophysiology
Preferred Temperature,"The occupant’s chosen or desired thermal setpoint, reflecting individual comfort preferences. this temperature is typically identified through subjective feedback or adaptive behaviour and can vary based on personal, physiological, or contextual factors.",Thermophysiology
Proximal Body Temperatures.,"Proximal body temperatures pertain to the temperatures measured on the central parts of the body, such as the torso or upper trunk. these measurements are more stable and reflective of the core body temperature, providing insight into the overall thermal status of the individual. in the context of local cooling, maintaining proximal temperatures within a thermo-neutral range is essential to preserve core thermal balance.",Thermophysiology
Radiant Asymmetries,"Radiant asymmetries in thermal comfort refer to the unequal heating or cooling effects experienced by a person due to non-uniform radiant temperatures from different directions or sources. this can happen in an environment where one side of a space, such as a wall or window, is significantly colder or warmer than others, causing one side of the body to feel different from the other.",Generic Terminology
Rate of Perceived Exertion (rpe),"A psychophysical scale used to quantify an individual’s subjective perception of physical effort during activity. in a thermal or indoor environment context, rpe can also capture how environmental stressors (e.g., heat) influence the perceived intensity of exertion.",Thermophysiology
Real Environment,"The actual, non-uniform thermal setting where multiple heat transfer mechanisms (e.g., conduction, convection, radiation, and moisture evaporation) occur simultaneously across different body parts. in warm conditions, sweat production and evaporation further modulate the occupant’s overall and local thermal balance.",Thermophysiology
Respiratory Zone,"The respiratory zone refers to the region immediately surrounding an occupant’s breathing area. in the context of the ventilation analysis, it is the space from which occupants inhale air, making it a critical zone for assessing the exposure to contaminants and ensuring adequate fresh air delivery for maintaining indoor air quality.",Generic Terminology
Resting Energy Expenditure (ree): Metabolic Rate of the Body at Rest,"The metabolic rate of the human body at rest, representing the baseline energy required to sustain essential physiological functions (e.g., respiration, circulation, and cellular processes). ree is typically measured in kilocalories per day or watts and forms the basis for estimating total daily energy needs.",Thermophysiology
Sensation of Jet,"The immediate physical experience an occupant has when exposed to the cooling jet. this encompasses the tactile perception of the airflow—its speed, temperature difference, and directional impact—on the skin, which can either enhance comfort or lead to discomfort depending on its characteristics.",Key Performance Indicators - Subjective
Single Segment Models,Single segment models in thermal comfort are basic approaches that approximate the body’s response to thermal environments as a whole without differentiating between the body's various segments. these models typically use overall heat balance and a uniform set of physiological parameters to predict thermal sensation and comfort.,Thermophysiology
Skin Temperature,"Skin temperature refers to the temperature of the outermost surface of the body, which is instrumental in human thermoregulation and thermal comfort assessments. it varies across different body parts and is influenced by both external environmental conditions (such as temperature, humidity, and airflow) and internal physiological factors (like metabolic rate).",Thermophysiology
Skin Wetness,"A subjective or measured indicator of how moist the skin feels due to sweating. high skin wetness often correlates with heat stress or discomfort, while lower values typically indicate more moderate or comfortable thermal conditions.",Thermophysiology
Sleep Quality,"An assessment of how restful and restorative an individual’s sleep is, determined both subjectively (e.g., self-report questionnaires) and objectively (e.g., eeg-based analysis). environmental factors such as temperature, humidity, and noise can significantly affect sleep quality.",Thermophysiology
Spatial Alliesthesia,"A form of alliesthesia wherein localized thermal stimuli (e.g., warming or cooling a particular area) counteract the overall body’s thermal state, yielding a pleasant sensation. this targeted approach can provide comfort even if the rest of the body is in a different thermal condition.",Thermophysiology
Specific Humidity at Contact Area,It is the water vapor content in the air layer (or microclimate) directly at the occupant–seat interface node. this parameter influences latent heat exchange through moisture transfer in the contact area.,Thermophysiology
Specific Humidity at Skin Surface,"It indicates the water vapor concentration immediately adjacent to or at the skin boundary, driving sweat evaporation and latent heat removal when air moves away or is absorbed by clothing or seating surfaces.",Thermophysiology
Specific Humidity of Environment,"It is the ambient moisture content of the indoor air. along with temperature, it determines humidity-related comfort and influences sweat evaporation rates.",Thermophysiology
Standard Effective Temperature (set),"Standard effective temperature (set) is a thermal comfort index that quantifies the perceived temperature by representing a uniform environmental condition equivalent to the actual complex conditions experienced by a human. it incorporates factors like air temperature, humidity, air velocity, radiant temperature, clothing insulation, and metabolic rate, allowing for a comprehensive and standardized assessment of thermal comfort.",Generic Terminology
Target Segments,"Specific body regions intentionally exposed to thermal stimuli (e.g., hands, feet, back, or face) to enhance local and whole-body thermal comfort.",Thermophysiology
Temperature Drift,"Temperature drift refers to the gradual variation in ambient temperature over time due to environmental fluctuations, hvac system adjustments, or natural heat exchange processes. it impacts thermal comfort and can influence how individuals adapt to changing indoor conditions.",Generic Terminology
Temporal Alliesthesia,"A form of alliesthesia associated with whole-body thermal changes over time. the pleasure response arises from moving toward a more comfortable thermal state, such as warming up after being cold or cooling down after being hot.",Thermophysiology
Thermal Acceptability,Thermal acceptability refers to the degree to which the thermal conditions provided by a system or environment are deemed comfortable or satisfactory by the occupants. it is a measure that reflects both subjective responses and objective indices of thermal comfort.,Key Performance Indicators - Subjective
Thermal Pleasure / Positive Thermal Alliesthesia,The subjective delight or pleasantness experienced when thermal stimuli effectively alleviate discomfort. it reflects the body’s heightened sensitivity to changes in skin temperature and underpins both temporal and spatial forms of alliesthesia.,Thermophysiology
Thermal Stimuli,"External factors such as heated surfaces, airflow, or cooling devices that influence the thermal state of the whole body.",Thermophysiology
Thermo-neutral Ambient Condition,"A thermo-neutral ambient condition is defined as an environment where the ambient temperature is set at a level that neither induces a warming nor a cooling response in the human body. this state is characterized by a balance between the body’s heat production and heat loss, resulting in a perception of thermal neutrality.",Generic Terminology
Thermoregulation Model,"A mathematical representation of the human body's physiological processes that maintain its core temperature within a narrow range, despite varying environmental conditions.",Thermophysiology
Thermoregulation State Identification Mechanism,"A thermoregulation state identification mechanism is a method or system that monitors and evaluates both physiological and environmental data to classify the current thermal state of an individual (e.g., warm, neutral, or cool). this process typically involves the use of sensors and advanced algorithms (such as fuzzy logic, neural networks, or other ai techniques) to analyse data in real time, enabling dynamic adjustments in environmental controls to achieve or sustain thermal equilibrium and overall comfort.",Thermophysiology
Thermoregulatory Response,"Thermoregulatory response refers to the body's physiological mechanisms that maintain a stable internal temperature in response to environmental temperature changes. these responses include vasodilation (expanding blood vessels to release heat), vasoconstriction (narrowing blood vessels to retain heat), sweating (to enhance evaporative cooling), and shivering (to generate heat), allowing the body to adapt to thermal variations while preserving comfort and energy balance.",Thermophysiology
Turbulence Intensity (ti),"Turbulence intensity (ti) is a dimensionless parameter that quantifies the level of velocity fluctuations in a turbulent airflow relative to the mean velocity. it is commonly used in indoor air distribution, ventilation studies, and fluid dynamics to assess airflow stability and its impact on thermal comfort, pollutant dispersion, and ventilation efficiency.
 
 ti= (u' / u) x 100 (%)
 where:
 u'(m/s) = root mean square (rms) of velocity fluctuations
 u (m/s) = mean airflow velocity",Key Performance Indicators - Objective
Vasoconstriction,"Vasoconstriction is the physiological process in which blood vessels narrow to reduce blood flow to the skin and extremities, helping to retain body heat and maintain core temperature in cold environments. it is a key thermoregulatory response.",Thermophysiology
Vasodilatation,"Vasodilatation is the widening of blood vessels to increase blood flow to the skin, promoting heat dissipation and helping to regulate core temperature in warm environments. it is a key thermoregulatory response",Thermophysiology
Vertical Jet Exposure,The condition in which an occupant is exposed to a cooling air jet that is directed vertically (either descending from the ceiling or ascending from the floor). this type of exposure affects the localized thermal sensation experienced by the individual and is evaluated in terms of its influence on both comfort and work performance.,Key Performance Indicators - Subjective
